table_id,count_census,count_panel,field_level_2,bias,abs_bias,representation_ratio
B15003e21,375851.0,25693.524211692034, Associate'S Degree,0.5108721905703284,0.5108721905703284,1.0795397000502356
B15003e17,1188696.0,76373.96948174643, Regular High School Diploma,0.29706757253669736,0.29706757253669736,1.0146241907357156
B15003e23,610225.0,37589.325518527454, Master'S Degree,-0.2840718161184732,0.2840718161184732,0.9727588430570488
B15003e22,1246538.0,78020.80994888037, Bachelor'S Degree,-0.24696393909651704,0.24696393909651704,0.9884064772689265
B15003e20,632760.0,40963.82075537694," Some College, 1 Or More Years, No Degree",0.24148237622620883,0.24148237622620883,1.0223323188522344
B15003e18,214018.0,14296.837814513772, Ged Or Alternative Credential,0.20086721704817156,0.20086721704817156,1.0549219764898472
B15003e16,173909.0,10434.875826955622," 12Th Grade, No Diploma",-0.15591689987760127,0.15591689987760127,0.947536346650803
B15003e25,85065.0,4854.379915736332, Doctorate Degree,-0.143644985419906,0.143644985419906,0.9011840705788968
B15003e10,122882.0,7253.693621062281, 6Th Grade,-0.1424078170034624,0.1424078170034624,0.9321838775311286
B15003e24,177697.0,10737.956076202985, Professional School Degree,-0.13885930040822458,0.13885930040822458,0.9542719929954677
B15003e13,122135.0,7345.796760395444, 9Th Grade,-0.1047872286008853,0.1047872286008853,0.9497940008773684
B15003e15,131569.0,8672.816800848268, 11Th Grade,0.09211018241853086,0.09211018241853086,1.040967688923048
B15003e9,51533.0,3066.85422023737, 5Th Grade,-0.053008923108443406,0.053008923108443406,0.9398063120726249
B15003e2,167074.0,10386.836974248668, No Schooling Completed,-0.05207857935451354,0.05207857935451354,0.9817594615280342
B15003e14,117084.0,7571.796136396069, 10Th Grade,0.04251736315391774,0.04251736315391774,1.0212498646457184
B15003e12,112803.0,6994.335417633006, 8Th Grade,-0.04016055910867267,0.04016055910867267,0.9791662956396128
B15003e7,29846.0,1775.4490292083324, 3Rd Grade,-0.030905639909101668,0.030905639909101668,0.9394046913280963
B15003e19,196441.0,12513.839360801223," Some College, Less Than 1 Year",0.020072559481361996,0.020072559481361996,1.0059794055997153
B15003e11,42852.0,2775.9600980249133, 7Th Grade,0.016837759486478254,0.016837759486478254,1.022993262742861
B15003e6,14657.0,874.4672290840173, 2Nd Grade,-0.014484838407402556,0.014484838407402556,0.942169631017969
B15003e5,6329.0,371.6635204410577, 1St Grade,-0.007857061479188951,0.007857061479188951,0.9273538752311637
B15003e4,2496.0,147.74961743979114, Kindergarten,-0.002781599844178931,0.002781599844178931,0.9347865060762394
B15003e8,27823.0,1754.3125550517375, 4Th Grade,-0.002038866150459895,0.002038866150459895,0.9957118283970064
B15003e3,1489.0,87.40035417211423, Nursery School,-0.0018591670346459303,0.0018591670346459303,0.926934710566393
