table_id,count_census,count_panel,field_level_2,bias,abs_bias,representation_ratio
B15003e17,1186250.0,75779.93624929363, Regular High School Diploma,0.32877685787966016,0.32877685787966016,1.016201294858476
B15003e20,631855.0,40879.38981619303," Some College, 1 Or More Years, No Degree",0.31534458281858413,0.31534458281858413,1.0291737770215308
B15003e23,610033.0,37511.90518865101, Master'S Degree,-0.22774009109152082,0.22774009109152082,0.9781771799260168
B15003e18,213840.0,14272.471625339613, Ged Or Alternative Credential,0.22580012387102322,0.22580012387102322,1.0617248354794775
B15003e25,85008.0,4808.733830911993, Doctorate Degree,-0.14563410772373842,0.14563410772373842,0.8998552903611979
B15003e16,173569.0,10386.637553267703," 12Th Grade, No Diploma",-0.14273509478270707,0.14273509478270707,0.9519289822093115
B15003e22,1245942.0,77839.25518815411, Bachelor'S Degree,-0.1319743184872486,0.1319743184872486,0.9938082086512511
B15003e10,122788.0,7239.470204949892, 6Th Grade,-0.13046149611145164,0.13046149611145164,0.9378914857770441
B15003e24,177540.0,10717.957855269047, Professional School Degree,-0.1205048974404277,0.1205048974404277,0.9603235147747654
B15003e13,122072.0,7304.402679655835, 9Th Grade,-0.1005427448746663,0.1005427448746663,0.9518540912398091
B15003e21,375575.0,23938.438280189002, Associate'S Degree,0.08939349231531235,0.08939349231531235,1.013913421406173
B15003e15,131386.0,8533.658925090715, 11Th Grade,0.0746400962817475,0.0746400962817475,1.0332083892544792
B15003e14,117001.0,7549.341845878466, 10Th Grade,0.05286252607298625,0.05286252607298625,1.0264108908063359
B15003e9,51512.0,3066.8233510121354, 5Th Grade,-0.04664289920585796,0.04664289920585796,0.9470700070533643
B15003e19,196164.0,12484.967219216924," Some College, Less Than 1 Year",0.041750206673424994,0.041750206673424994,1.0124412504265807
B15003e2,166949.0,10386.47497791519, No Schooling Completed,-0.029530622625903113,0.029530622625903113,0.989660167756905
B15003e7,29817.0,1765.9325254329526, 3Rd Grade,-0.029517219454873678,0.029517219454873678,0.9421323015295096
B15003e12,112613.0,6993.639346872464, 8Th Grade,-0.023295240517934745,0.023295240517934745,0.9879078540175248
B15003e11,42833.0,2775.890467349778, 7Th Grade,0.022657568691846985,0.022657568691846985,1.030921426644995
B15003e6,14657.0,874.4672290840173, 2Nd Grade,-0.012769030248639152,0.012769030248639152,0.9490742376689226
B15003e5,6329.0,371.6635204410577, 1St Grade,-0.007129626588490201,0.007129626588490201,0.9341499059287256
B15003e4,2496.0,147.74961743979117, Kindergarten,-0.0024920539031173597,0.0024920539031173597,0.9416370061503102
B15003e3,1489.0,87.40035417211423, Nursery School,-0.0016881157823493385,0.0016881157823493385,0.9337276694528533
B15003e8,27823.0,1754.3125550517373, 4Th Grade,0.001432104234335041,0.001432104234335041,1.0030088142968332
